Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
3884,tt0348568,2016-08-01,2016-08-01,,"The Classic","Keulraesik",https://www.imdb.com/title/tt0348568/,Movie,7.7,127,2003,"Drama, Romance",10742,2003-01-30,"Jae-young Kwak"
3885,tt0091142,2016-08-01,2016-08-01,,"Gothic","Gothic",https://www.imdb.com/title/tt0091142/,Movie,5.7,87,1986,"Drama, Fantasy, Horror, Mystery",9700,1987-04-10,"Ken Russell"
3886,tt0082329,2016-08-01,2016-08-01,,"Endless Love","Endless Love",https://www.imdb.com/title/tt0082329/,Movie,4.9,116,1981,"Drama, Romance",10463,1981-07-17,"Franco Zeffirelli"
3887,tt0420555,2016-08-01,2016-08-01,,"How Much Do You Love Me?","Combien tu m'aimes?",https://www.imdb.com/title/tt0420555/,Movie,5.6,95,2005,"Comedy, Drama, Romance",8123,2005-10-26,"Bertrand Blier"
3888,tt0033149,2016-08-01,2016-08-01,,"They Drive by Night","They Drive by Night",https://www.imdb.com/title/tt0033149/,Movie,7.2,95,1940,"Crime, Drama, Film-Noir, Thriller",9869,1940-08-03,"Raoul Walsh"
3889,tt1403862,2016-08-01,2016-08-01,,"Sinbad: The Fifth Voyage","Sinbad: The Fifth Voyage",https://www.imdb.com/title/tt1403862/,Movie,3.4,89,2014,"Action, Adventure, Fantasy",3187,2014-02-07,"Shahin Sean Solimon"
3890,tt0048624,2016-08-01,2016-08-01,,"Sissi","Sissi",https://www.imdb.com/title/tt0048624/,Movie,7.0,102,1955,"Comedy, Drama, History, Romance",10759,2017-11-01,"Ernst Marischka"
3891,tt0772157,2016-08-01,2016-08-01,,"Broken English","Broken English",https://www.imdb.com/title/tt0772157/,Movie,6.3,93,2007,"Comedy, Drama, Romance",7412,2008-07-16,"Zoe R. Cassavetes"
3892,tt3541262,2016-08-01,2016-08-01,,"The Admiral: Roaring Currents","Myeong-ryang",https://www.imdb.com/title/tt3541262/,Movie,7.1,128,2014,"Action, History, War",13873,2014-07-30,"Kim Han-min"
3893,tt0940657,2016-08-01,2016-08-01,,"Arthur and the Revenge of Maltazard","Arthur et la vengeance de Maltazard",https://www.imdb.com/title/tt0940657/,Movie,5.3,107,2009,"Animation, Adventure, Family, Fantasy",12090,2009-12-02,"Luc Besson"
3894,tt0188640,2016-08-01,2016-08-01,,"Godzilla 2000","Gojira ni-sen mireniamu",https://www.imdb.com/title/tt0188640/,Movie,6.0,99,1999,"Action, Adventure, Drama, Sci-Fi, Thriller",10080,2000-08-18,"Takao Okawara"
3895,tt0406158,2016-08-01,2016-08-01,,"The Prize Winner of Defiance, Ohio","The Prize Winner of Defiance, Ohio",https://www.imdb.com/title/tt0406158/,Movie,7.2,99,2005,"Biography, Drama",8535,2007-06-01,"Jane Anderson"
3896,tt0042286,2016-08-01,2016-08-01,,"Broken Arrow","Broken Arrow",https://www.imdb.com/title/tt0042286/,Movie,7.1,93,1950,"Drama, Romance, Western",10523,1950-08,"Delmer Daves"
3897,tt0238948,2016-08-01,2016-08-01,,"Double Take","Double Take",https://www.imdb.com/title/tt0238948/,Movie,5.4,88,2001,"Action, Comedy, Crime, Thriller",8975,2001-01-12,"George Gallo"
3898,tt0035899,2016-08-01,2016-08-01,,"Frankenstein Meets the Wolf Man","Frankenstein Meets the Wolf Man",https://www.imdb.com/title/tt0035899/,Movie,6.4,74,1943,"Fantasy, Horror, Sci-Fi",10796,1943-03-05,"Roy William Neill"
3899,tt0257231,2016-08-01,2016-08-01,,"Torrente 2: Misión en Marbella","Torrente 2: Misión en Marbella",https://www.imdb.com/title/tt0257231/,Movie,6.4,99,2001,"Action, Comedy, Crime",8439,2001-03-30,"Santiago Segura"
3900,tt0079351,2016-08-01,2016-08-01,,"I'm for the Hippopotamus","Io sto con gli ippopotami",https://www.imdb.com/title/tt0079351/,Movie,6.6,92,1979,"Action, Adventure, Comedy",10019,1979-11-30,"Italo Zingarelli"
3901,tt2007993,2016-08-01,2016-08-01,,"Warriors of the Rainbow: Seediq Bale I","Sai de ke · ba lai: Tai yang qi",https://www.imdb.com/title/tt2007993/,Movie,7.5,144,2011,"Action, Drama, History",7520,2011-09-09,"Te-Sheng Wei"
3902,tt1127702,2016-08-01,2016-08-01,,"Mission London","Mission London",https://www.imdb.com/title/tt1127702/,Movie,7.1,107,2010,"Comedy",6400,2010-04-16,"Dimitar Mitovski"
3903,tt0487419,2016-08-01,2016-08-01,,"The Secret of the Grain","La graine et le mulet",https://www.imdb.com/title/tt0487419/,Movie,7.4,151,2007,"Drama",8162,2007-12-12,"Abdellatif Kechiche"
3904,tt1930546,2016-08-01,2016-08-01,,"Arthur Newman","Arthur Newman",https://www.imdb.com/title/tt1930546/,Movie,5.6,101,2012,"Comedy, Drama",8069,2013-06-13,"Dante Ariola"
3905,tt0322545,2016-08-01,2016-08-01,,"Berlin Blues","Herr Lehmann",https://www.imdb.com/title/tt0322545/,Movie,7.1,105,2003,"Comedy, Drama",7830,2003-10-02,"Leander Haußmann"
3906,tt0120703,2016-08-01,2016-08-01,,"How Stella Got Her Groove Back","How Stella Got Her Groove Back",https://www.imdb.com/title/tt0120703/,Movie,5.7,124,1998,"Comedy, Drama, Romance",8780,1998-08-14,"Kevin Rodney Sullivan"
3907,tt3668162,2016-08-01,2016-08-01,,"Bangalore Days","Bangalore Days",https://www.imdb.com/title/tt3668162/,Movie,8.3,171,2014,"Comedy, Drama, Romance",26808,2014-05-30,"Anjali Menon"
3908,tt0097336,2016-08-01,2016-08-01,,"Fat Man and Little Boy","Fat Man and Little Boy",https://www.imdb.com/title/tt0097336/,Movie,6.5,127,1989,"Biography, Drama, History, War",9686,1989-10-20,"Roland Joffé"
3909,tt0334754,2016-08-01,2016-08-01,,"Yossi & Jagger","Yossi & Jagger",https://www.imdb.com/title/tt0334754/,Movie,7.1,65,2002,"Drama, History, Romance, War",7862,2002-08-01,"Eytan Fox"
3910,tt0037077,2016-08-01,2016-08-01,,"The Miracle of Morgan's Creek","The Miracle of Morgan's Creek",https://www.imdb.com/title/tt0037077/,Movie,7.5,98,1943,"Comedy, Romance, War",8249,1944-02,"Preston Sturges"
3911,tt1100051,2016-08-01,2016-08-01,,"Bereavement","Bereavement",https://www.imdb.com/title/tt1100051/,Movie,5.0,103,2010,"Crime, Horror, Thriller",8551,2010-07-16,"Stevan Mena"
3912,tt1258137,2016-08-01,2016-08-01,,"Malone","Give 'em Hell Malone",https://www.imdb.com/title/tt1258137/,Movie,5.8,96,2009,"Action, Adventure, Crime, Mystery, Thriller",6810,2020-05-19,"Russell Mulcahy"
3913,tt0756729,2016-08-01,2016-08-01,,"Year of the Dog","Year of the Dog",https://www.imdb.com/title/tt0756729/,Movie,6.0,97,2007,"Comedy, Drama",6761,2007-05-11,"Mike White"
3914,tt0104740,2016-08-01,2016-08-01,,"Little Nemo: Adventures in Slumberland","Nimo",https://www.imdb.com/title/tt0104740/,Movie,7.0,85,1989,"Animation, Adventure, Comedy, Family, Fantasy, Musical",8733,1992-08-21,"Masami Hata, William T. Hurtz"
3915,tt3010660,2016-08-01,2016-08-01,,"Stromberg - Der Film","Stromberg - Der Film",https://www.imdb.com/title/tt3010660/,Movie,7.3,123,2014,"Comedy",8827,2014-02-20,"Arne Feldhusen"
3916,tt0881200,2016-08-01,2016-08-01,,"Assembly","Ji jie hao",https://www.imdb.com/title/tt0881200/,Movie,7.3,124,2007,"Action, Biography, Drama, History, War",7539,2007-12-20,"Xiaogang Feng"
3917,tt0060748,2016-08-01,2016-08-01,,"Nevada Smith","Nevada Smith",https://www.imdb.com/title/tt0060748/,Movie,6.9,128,1966,"Drama, Western",9661,1966-07-23,"Henry Hathaway"
3918,tt0052654,2016-08-01,2016-08-01,,"The Bridge","Die Brücke",https://www.imdb.com/title/tt0052654/,Movie,7.9,103,1959,"Drama, History, War",9152,1961-05-01,"Bernhard Wicki"
3919,tt3442990,2016-08-01,2016-08-01,,"Lila & Eve","Lila & Eve",https://www.imdb.com/title/tt3442990/,Movie,5.9,94,2015,"Crime, Drama, Thriller",9373,2015-07-17,"Charles Stone III"
3920,tt0298856,2016-08-01,2016-08-01,,"Evelyn","Evelyn",https://www.imdb.com/title/tt0298856/,Movie,7.0,94,2002,"Drama",7431,2002-12-25,"Bruce Beresford"
3921,tt0887971,2016-08-01,2016-08-01,,"While She Was Out","While She Was Out",https://www.imdb.com/title/tt0887971/,Movie,4.8,86,2008,"Crime, Drama, Thriller",7662,2009-03-26,"Susan Montford"
3922,tt0822389,2016-08-01,2016-08-01,,"Kenny","Kenny",https://www.imdb.com/title/tt0822389/,Movie,7.2,99,2006,"Comedy",7538,2008-07-11,"Clayton Jacobson"
3923,tt0993789,2016-08-01,2016-08-01,,"A Christmas Tale","Un conte de Noël",https://www.imdb.com/title/tt0993789/,Movie,6.9,150,2008,"Comedy, Drama",7811,2008-11-21,"Arnaud Desplechin"
3924,tt0038190,2016-08-01,2016-08-01,,"A Tree Grows in Brooklyn","A Tree Grows in Brooklyn",https://www.imdb.com/title/tt0038190/,Movie,8.0,129,1945,"Drama, Family, Romance",8862,1945-03,"Elia Kazan"
3925,tt1817771,2016-08-01,2016-08-01,,"Freaks of Nature","Freaks of Nature",https://www.imdb.com/title/tt1817771/,Movie,5.9,92,2015,"Comedy, Horror, Sci-Fi",14190,2015-10-30,"Robbie Pickering"
3926,tt4404474,2016-08-01,2016-08-01,,"Potato Salad","Kartoffelsalat - Nicht fragen!",https://www.imdb.com/title/tt4404474/,Movie,1.3,81,2015,"Comedy, Horror",7171,2015-07-23,"Michael David Pate"
3927,tt1601475,2016-08-01,2016-08-01,,"Seconds Apart","Seconds Apart",https://www.imdb.com/title/tt1601475/,Movie,5.6,89,2011,"Drama, Horror, Thriller",6587,2011-07-07,"Antonio Negret"
3928,tt0104006,2016-08-01,2016-08-01,,"Consenting Adults","Consenting Adults",https://www.imdb.com/title/tt0104006/,Movie,5.7,99,1992,"Crime, Drama, Mystery, Thriller",8759,1992-10-16,"Alan J. Pakula"
3929,tt1345772,2016-08-01,2016-08-01,,"The Clinic","The Clinic",https://www.imdb.com/title/tt1345772/,Movie,5.3,94,2010,"Crime, Horror, Mystery, Thriller",6856,2012-07-25,"James Rabbitts"
3930,tt0097790,2016-08-01,2016-08-01,,"Loverboy","Loverboy",https://www.imdb.com/title/tt0097790/,Movie,6.1,98,1989,"Comedy",9319,1989-04-28,"Joan Micklin Silver"
3931,tt0024188,2016-08-01,2016-08-01,,"Island of Lost Souls","Island of Lost Souls",https://www.imdb.com/title/tt0024188/,Movie,7.3,70,1932,"Film-Noir, Horror, Sci-Fi",11990,1932-12,"Erle C. Kenton"
3932,tt0278291,2016-08-01,2016-08-01,,"Ajnabee","Ajnabee",https://www.imdb.com/title/tt0278291/,Movie,6.3,165,2001,"Action, Crime, Drama, Mystery, Romance, Thriller",9609,2001-09-21,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla"
3933,tt0039286,2016-08-01,2016-08-01,,"Crossfire","Crossfire",https://www.imdb.com/title/tt0039286/,Movie,7.2,86,1947,"Crime, Drama, Film-Noir, Mystery",10562,1947-08-15,"Edward Dmytryk"
3934,tt0120512,2016-08-01,2016-08-01,,"Wild America","Wild America",https://www.imdb.com/title/tt0120512/,Movie,6.4,106,1997,"Action, Adventure, Comedy, Family",8578,1997-07-02,"William Dear"
3935,tt0482930,2016-08-01,2016-08-01,,"Dragon Tiger Gate","Lung foo moon",https://www.imdb.com/title/tt0482930/,Movie,6.1,94,2006,"Action, Fantasy, Thriller",7381,2006-07-28,"Wilson Yip"
3936,tt1230204,2016-08-01,2016-08-01,,"A Turtle's Tale: Sammy's Adventures","Sammy's avonturen: De geheime doorgang",https://www.imdb.com/title/tt1230204/,Movie,6.0,88,2010,"Animation, Adventure, Family",8654,2012-07-13,"Ben Stassen"
3937,tt0054310,2016-08-01,2016-08-01,,"Sink the Bismarck!","Sink the Bismarck!",https://www.imdb.com/title/tt0054310/,Movie,7.2,97,1960,"Action, Drama, History, War",8932,1960-02-11,"Lewis Gilbert"
3938,tt2741806,2016-08-01,2016-08-01,,"In Bloom","Grzeli nateli dgeebi",https://www.imdb.com/title/tt2741806/,Movie,7.3,102,2013,"Drama",7229,2014-01-10,"Nana Ekvtimishvili, Simon Groß"
3939,tt0046511,2016-08-01,2016-08-01,,"Journey to Italy","Viaggio in Italia",https://www.imdb.com/title/tt0046511/,Movie,7.3,97,1954,"Drama, Romance",13457,1954-09-08,"Roberto Rossellini"
3940,tt0250478,2016-08-01,2016-08-01,,"Nico and Dani","Krámpack",https://www.imdb.com/title/tt0250478/,Movie,6.6,91,2000,"Comedy, Drama, Romance",6433,2001-02-02,"Cesc Gay"
3941,tt1081935,2016-08-01,2016-08-01,,"Baaria","Baarìa",https://www.imdb.com/title/tt1081935/,Movie,6.9,163,2009,"Comedy, Drama",8295,2009-09-25,"Giuseppe Tornatore"
3942,tt0051077,2016-08-01,2016-08-01,,"The Three Faces of Eve","The Three Faces of Eve",https://www.imdb.com/title/tt0051077/,Movie,7.2,91,1957,"Drama, Mystery",9428,1957-09-18,"Nunnally Johnson"
3943,tt0052027,2016-08-01,2016-08-01,,"The Old Man and the Sea","The Old Man and the Sea",https://www.imdb.com/title/tt0052027/,Movie,6.9,86,1958,"Adventure, Drama",9129,1958-10-11,"John Sturges, Fred Zinnemann"
3944,tt0074252,2016-08-01,2016-08-01,,"Ugly, Dirty and Bad","Brutti, sporchi e cattivi",https://www.imdb.com/title/tt0074252/,Movie,7.7,115,1976,"Comedy, Drama",9619,1976-09-23,"Ettore Scola"
3945,tt2580382,2016-08-01,2016-08-01,,"The Survivalist","The Survivalist",https://www.imdb.com/title/tt2580382/,Movie,6.4,104,2015,"Drama, Sci-Fi, Thriller",19821,2016-02-12,"Stephen Fingleton"
3946,tt2251281,2016-08-01,2016-08-01,,"Dark Was the Night","Dark Was the Night",https://www.imdb.com/title/tt2251281/,Movie,5.6,99,2014,"Drama, Horror, Thriller",12234,2015-07-24,"Jack Heller"
3947,tt0101465,2016-08-01,2016-08-01,,"Black Robe","Black Robe",https://www.imdb.com/title/tt0101465/,Movie,7.1,101,1991,"Adventure, Drama, War",8101,1991-10-04,"Bruce Beresford"
3948,tt0258967,2016-08-01,2016-08-01,,"The Unsaid","The Unsaid",https://www.imdb.com/title/tt0258967/,Movie,6.6,111,2001,"Crime, Drama, Mystery, Thriller",6881,2001-09-14,"Tom McLoughlin"
3949,tt0135007,2016-08-01,2016-08-01,,"Three Men and a Leg","Tre uomini e una gamba",https://www.imdb.com/title/tt0135007/,Movie,7.7,100,1997,"Comedy",12876,1997-12-27,"Aldo Baglio, Giacomo Poretti, Giovanni Storti, Massimo Venier"
3950,tt0049189,2016-08-01,2016-08-01,,"...And God Created Woman","Et Dieu... créa la femme",https://www.imdb.com/title/tt0049189/,Movie,6.3,90,1956,"Drama, Romance",10138,1957-10-21,"Roger Vadim"
3951,tt1100053,2016-08-01,2016-08-01,,"Tormented","Tormented",https://www.imdb.com/title/tt1100053/,Movie,5.1,91,2009,"Comedy, Horror, Mystery",6667,2009-05-22,"Jon Wright"
3952,tt0791303,2016-08-01,2016-08-01,,"A Summer in Genoa","Genova",https://www.imdb.com/title/tt0791303/,Movie,6.0,93,2008,"Drama, Mystery, Romance",6948,2009-03-27,"Michael Winterbottom"
3953,tt0050598,2016-08-01,2016-08-01,,"A King in New York","A King in New York",https://www.imdb.com/title/tt0050598/,Movie,7.0,105,1957,"Comedy, Drama",9574,1957-09-23,"Charles Chaplin"
3954,tt0209463,2016-08-01,2016-08-01,,"The Wind Will Carry Us","Bad ma ra khahad bord",https://www.imdb.com/title/tt0209463/,Movie,7.4,118,1999,"Drama",13564,1999-11-24,"Abbas Kiarostami"
3955,tt0057058,2016-08-01,2016-08-01,,"The Fire Within","Le feu follet",https://www.imdb.com/title/tt0057058/,Movie,7.8,108,1963,"Drama",11282,1966-10-07,"Louis Malle"
3956,tt3554418,2016-08-01,2016-08-01,,"Khoobsurat","Khoobsurat",https://www.imdb.com/title/tt3554418/,Movie,6.4,130,2014,"Comedy, Romance",9503,2014-09-19,"Shashanka Ghosh"
3957,tt1455151,2016-08-01,2016-08-01,,"My Afternoons with Margueritte","La tête en friche",https://www.imdb.com/title/tt1455151/,Movie,7.2,82,2010,"Comedy, Drama",7878,2011-09-16,"Jean Becker"
3958,tt0062430,2016-08-01,2016-08-01,,"Valley of the Dolls","Valley of the Dolls",https://www.imdb.com/title/tt0062430/,Movie,6.0,123,1967,"Drama, Music, Romance",10443,1967-12-13,"Mark Robson"
3959,tt0074292,2016-08-01,2016-08-01,,"The Cassandra Crossing","The Cassandra Crossing",https://www.imdb.com/title/tt0074292/,Movie,6.3,129,1976,"Drama, Thriller",10787,1977-02-09,"George P. Cosmatos"
3960,tt0099731,2016-08-01,2016-08-01,,"The Handmaid's Tale","The Handmaid's Tale",https://www.imdb.com/title/tt0099731/,Movie,6.0,108,1990,"Drama, Romance, Sci-Fi, Thriller",11965,1990-03-09,"Volker Schlöndorff"
3961,tt0114916,2016-08-01,2016-08-01,,"When Night Is Falling","When Night Is Falling",https://www.imdb.com/title/tt0114916/,Movie,6.5,94,1995,"Drama, Romance",7828,1995-11-17,"Patricia Rozema"
3962,tt0216799,2016-08-01,2016-08-01,,"Harrison's Flowers","Harrison's Flowers",https://www.imdb.com/title/tt0216799/,Movie,7.0,121,2000,"Drama, Romance, War",7009,2002-03-15,"Élie Chouraqui"
3963,tt0056142,2016-08-01,2016-08-01,,"King Kong vs. Godzilla","King Kong vs. Godzilla",https://www.imdb.com/title/tt0056142/,Movie,5.7,91,1962,"Action, Adventure, Comedy, Fantasy, Sci-Fi",11829,1963-06-26,"Ishirô Honda, Tom Montgomery"
3964,tt0078907,2016-08-01,2016-08-01,,"French Fried Vacation 2","Les bronzés font du ski",https://www.imdb.com/title/tt0078907/,Movie,7.4,90,1979,"Comedy",9859,1979-11-22,"Patrice Leconte"
3965,tt0192194,2016-08-01,2016-08-01,,"Julien Donkey-Boy","Julien Donkey-Boy",https://www.imdb.com/title/tt0192194/,Movie,6.7,94,1999,"Comedy, Drama",8168,2000-09-13,"Harmony Korine"
3966,tt1270291,2016-08-01,2016-08-01,,"Hunter Prey","Hunter Prey",https://www.imdb.com/title/tt1270291/,Movie,5.8,88,2010,"Sci-Fi, Thriller",6330,2010-07-24,"Sandy Collora"
3967,tt0089222,2016-08-01,2016-08-01,,"Gotcha!","Gotcha!",https://www.imdb.com/title/tt0089222/,Movie,6.2,101,1985,"Action, Comedy, Mystery, Romance",9967,1985-05-03,"Jeff Kanew"
3968,tt2510028,2016-08-01,2016-08-01,,"Frontera","Frontera",https://www.imdb.com/title/tt2510028/,Movie,6.6,103,2014,"Drama, Thriller, Western",8854,2014-07-31,"Michael Berry"
3969,tt0054269,2016-08-01,2016-08-01,,"Saturday Night and Sunday Morning","Saturday Night and Sunday Morning",https://www.imdb.com/title/tt0054269/,Movie,7.5,89,1960,"Drama, Romance",9863,1961-04-03,"Karel Reisz"
3970,tt0109382,2016-08-01,2016-08-01,,"Dear Diary","Caro diario",https://www.imdb.com/title/tt0109382/,Movie,7.2,100,1993,"Biography, Comedy, Drama",9864,1994-09-30,"Nanni Moretti"
3971,tt0116823,2016-08-01,2016-08-01,,"Larger Than Life","Larger Than Life",https://www.imdb.com/title/tt0116823/,Movie,5.7,93,1996,"Comedy, Family",8212,1996-11-01,"Howard Franklin"
3972,tt0085475,2016-08-01,2016-08-01,,"Eddie and the Cruisers","Eddie and the Cruisers",https://www.imdb.com/title/tt0085475/,Movie,7.0,95,1983,"Drama, Music, Mystery",9161,1983-09-23,"Martin Davidson"
3973,tt1381418,2016-08-01,2016-08-01,,"You May Not Kiss the Bride","You May Not Kiss the Bride",https://www.imdb.com/title/tt1381418/,Movie,5.4,99,2011,"Action, Comedy, Crime, Romance",8084,2011-06-24,"Rob Hedden"
3974,tt0078326,2016-08-01,2016-08-01,,"Straight Time","Straight Time",https://www.imdb.com/title/tt0078326/,Movie,7.4,114,1978,"Crime, Drama",10937,1978-04-21,"Ulu Grosbard, Dustin Hoffman"
3975,tt1510906,2016-08-01,2016-08-01,,"Third Star","Third Star",https://www.imdb.com/title/tt1510906/,Movie,7.2,92,2010,"Drama",7721,2011-06-25,"Hattie Dalton"
3976,tt1764625,2016-08-01,2016-08-01,,"Tad: The Lost Explorer","Las aventuras de Tadeo Jones",https://www.imdb.com/title/tt1764625/,Movie,5.9,92,2012,"Animation, Adventure, Comedy, Family",9651,2013-07-24,"Enrique Gato"
3977,tt0197521,2016-08-01,2016-08-01,,"Godzilla: King of the Monsters!","Godzilla, King of the Monsters!",https://www.imdb.com/title/tt0197521/,Movie,6.3,80,1956,"Action, Horror, Sci-Fi",9387,1956-04-27,"Ishirô Honda, Terry O. Morse"
3978,tt0094888,2016-08-01,2016-08-01,,"Cobra Verde","Cobra Verde",https://www.imdb.com/title/tt0094888/,Movie,6.9,111,1987,"Adventure, Drama",8938,1987-12-03,"Werner Herzog"
3979,tt2597242,2016-08-01,2016-08-01,,"At the Devil's Door","At the Devil's Door",https://www.imdb.com/title/tt2597242/,Movie,4.8,91,2014,"Horror",7700,2014-08-08,"Nicholas McCarthy"
3980,tt2352802,2016-08-01,2016-08-01,,"Goodbye World","Goodbye World",https://www.imdb.com/title/tt2352802/,Movie,5.4,99,2013,"Comedy, Drama",7637,2014-04-04,"Denis Henry Hennelly"
3981,tt0821442,2016-08-01,2016-08-01,,"A Dirty Carnival","Biyeolhan geori",https://www.imdb.com/title/tt0821442/,Movie,7.3,140,2006,"Action, Crime, Drama",9600,2006-06-15,"Ha Yoo"
3982,tt0098319,2016-08-01,2016-08-01,,"Shirley Valentine","Shirley Valentine",https://www.imdb.com/title/tt0098319/,Movie,7.2,108,1989,"Comedy, Drama, Romance",9520,1989-08-30,"Lewis Gilbert"
3983,tt0102178,2016-08-01,2016-08-01,,"K2","K2",https://www.imdb.com/title/tt0102178/,Movie,6.2,104,1991,"Adventure, Drama, Sport",7574,1992-05-01,"Franc Roddam"
3984,tt1828970,2016-08-01,2016-08-01,,"Evidence","Evidence",https://www.imdb.com/title/tt1828970/,Movie,5.3,94,2013,"Crime, Horror, Mystery, Thriller",8094,2013-07-19,"Olatunde Osunsanmi"
3985,tt1513713,2016-08-01,2016-08-01,,"Love in Another Language","Baska Dilde Ask",https://www.imdb.com/title/tt1513713/,Movie,7.3,98,2009,"Drama",7229,2009-12-18,"Ilksen Basarir"
3986,tt1100119,2016-08-01,2016-08-01,,"Shorts","Shorts",https://www.imdb.com/title/tt1100119/,Movie,4.7,89,2009,"Adventure, Comedy, Family, Fantasy, Sci-Fi",8356,2009-08-21,"Robert Rodriguez"
3987,tt0043132,2016-08-01,2016-08-01,,"Where the Sidewalk Ends","Where the Sidewalk Ends",https://www.imdb.com/title/tt0043132/,Movie,7.5,95,1950,"Crime, Drama, Film-Noir",10875,1950-08,"Otto Preminger"
3988,tt1951216,2016-08-01,2016-08-01,,"The Look of Love","The Look of Love",https://www.imdb.com/title/tt1951216/,Movie,6.0,101,2013,"Biography, Comedy, Drama",7508,2013-07-07,"Michael Winterbottom"
3989,tt0368774,2016-08-01,2016-08-01,,"The Heart Is Deceitful Above All Things","The Heart Is Deceitful Above All Things",https://www.imdb.com/title/tt0368774/,Movie,6.2,97,2004,"Drama",7459,2005-01-19,"Asia Argento"
3990,tt0113729,2016-08-01,2016-08-01,,"Mad Love","Mad Love",https://www.imdb.com/title/tt0113729/,Movie,5.4,93,1995,"Comedy, Drama, Romance",7316,1995-05-26,"Antonia Bird"
3991,tt0018528,2016-08-01,2016-08-01,,"The Unknown","The Unknown",https://www.imdb.com/title/tt0018528/,Movie,7.7,68,1927,"Drama, Horror, Romance, Thriller",10033,1927-06-04,"Tod Browning"
3992,tt0252619,2016-08-01,2016-08-01,,"From the Village to the City","Köyden Indim Sehire",https://www.imdb.com/title/tt0252619/,Movie,8.3,91,1974,"Comedy",12593,1974-10,"Ertem Egilmez"
3993,tt0384686,2016-08-01,2016-08-01,,"The White Countess","The White Countess",https://www.imdb.com/title/tt0384686/,Movie,6.5,135,2005,"Drama, History, Romance, War",7259,2006-03-31,"James Ivory"
3994,tt0053085,2016-08-01,2016-08-01,,"The Mummy","The Mummy",https://www.imdb.com/title/tt0053085/,Movie,6.6,88,1959,"Adventure, Horror",12278,1959-12-16,"Terence Fisher"
3995,tt2353767,2016-08-01,2016-08-01,,"1,000 Times Good Night","Tusen ganger god natt",https://www.imdb.com/title/tt2353767/,Movie,7.0,117,2013,"Drama, War",8377,2014-10-24,"Erik Poppe"
3996,tt0247444,2016-08-01,2016-08-01,,"Juwanna Mann","Juwanna Mann",https://www.imdb.com/title/tt0247444/,Movie,4.7,91,2002,"Comedy, Drama, Romance, Sport",7378,2002-06-21,"Jesse Vaughan"
3997,tt0893507,2016-08-01,2016-08-01,,"The International","Beynelmilel",https://www.imdb.com/title/tt0893507/,Movie,7.2,105,2006,"Comedy, Drama, Music",8675,2006-12-29,"Muharrem Gülmez, Sirri Süreyya Önder"
3998,tt1172963,2016-08-01,2016-08-01,,"Lemon Tree","Etz Limon",https://www.imdb.com/title/tt1172963/,Movie,7.3,106,2008,"Drama, War",7060,2008-03-27,"Eran Riklis"
3999,tt0291376,2016-08-01,2016-08-01,,"Nayak: The Real Hero","Nayak: The Real Hero",https://www.imdb.com/title/tt0291376/,Movie,7.8,187,2001,"Action, Drama, Thriller",18884,2001-09-07,"S. Shankar"
4000,tt3164256,2016-08-01,2016-08-01,,"Rock the Kasbah","Rock the Kasbah",https://www.imdb.com/title/tt3164256/,Movie,5.5,106,2015,"Comedy, Music, War",13188,2015-10-23,"Barry Levinson"
4001,tt1451409,2016-08-01,2016-08-01,,"Pokkiri","Pokkiri",https://www.imdb.com/title/tt1451409/,Movie,7.6,161,2007,"Action, Crime, Thriller",14713,2007-01-12,"Prabhu Deva"
4002,tt0072783,2016-08-01,2016-08-01,,"Chupke Chupke","Chupke Chupke",https://www.imdb.com/title/tt0072783/,Movie,8.3,146,1975,"Comedy, Drama, Romance",13733,1975-04-11,"Hrishikesh Mukherjee"
4003,tt0085218,2016-08-01,2016-08-01,,"Barefoot Gen","Hadashi no Gen",https://www.imdb.com/title/tt0085218/,Movie,8.0,83,1983,"Animation, Biography, Drama, History, War",10046,1992-06-13,"Mori Masaki, Toshio Hirata, Shûichi Hirokawa"
4004,tt4009278,2016-08-01,2016-08-01,,"Intruders","Shut In",https://www.imdb.com/title/tt4009278/,Movie,5.7,90,2015,"Drama, Horror, Thriller",15005,2016-01-15,"Adam Schindler"
4005,tt0287635,2016-08-01,2016-08-01,,"Pokemon 4Ever: Celebi - Voice of the Forest","Poketto monsutâ: Serebî - Toki wo koeta deai",https://www.imdb.com/title/tt0287635/,Movie,5.8,75,2001,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",10090,2002-10-11,"Kunihiko Yuyama, Jim Malone"
4006,tt0054428,2016-08-01,2016-08-01,,"The Unforgiven","The Unforgiven",https://www.imdb.com/title/tt0054428/,Movie,6.5,125,1960,"Drama, Romance, Western",10682,1960-04-06,"John Huston"
4007,tt0079271,2016-08-01,2016-08-01,,"Hardcore","Hardcore",https://www.imdb.com/title/tt0079271/,Movie,7.1,108,1979,"Crime, Drama",16191,1979-02-09,"Paul Schrader"
4008,tt0027884,2016-08-01,2016-08-01,,"Libeled Lady","Libeled Lady",https://www.imdb.com/title/tt0027884/,Movie,7.8,98,1936,"Comedy, Romance",9484,1936-10-09,"Jack Conway"
